ID,firstName,lastName,rank_code,spaceship_ID,starDustCollection,traveledDistance,birthDay,lang_code,originPlanet_ID,email,createdAt,createdBy,modifiedAt,modifiedBy
13706886-b0b2-48ac-a8be-835261864601,Jasper,Steele,captain,28668806-9613-4716-bbcd-d08849a95869,76,84861.91,2010-04-24,hu,13355817-fdde-41b3-9826-a3b9703ac933,jasper.steele@aldiiisey.com,2020-04-17T23:00:00.000Z,createdBy.85sau@example.org,2012-11-18T23:00:00.000Z,modifiedBy.85sau@example.net
31304720-8291-41b9-b152-2718c48d9f81,Jasper,Price,captain,28668807-88b9-4236-bba9-2a41f6efdd28,13,77639.59,2000-10-08,fr,13355817-fdde-41b3-9826-a3b9703ac933,jasper.price@aldiiisey.com,2001-11-13T23:00:00.000Z,createdBy.imyvk@aldiiisey.com,2017-02-07T23:00:00.000Z,modifiedBy.imyvk@example.org
31304721-ae9e-4617-9852-08dd9edd30da,Sophia,Roberts,captain,28668808-a798-4da0-9658-20dab211ea36,49,98919.84,2017-06-23,de,13355817-fdde-41b3-9826-a3b9703ac933,Sophia.Roberts@aldiiisey.com,2003-05-29T23:00:00.000Z,createdBy.imyvl@aldiiisey.com,2012-09-15T23:00:00.000Z,modifiedBy.imyvl@example.org
31304722-78ea-4d41-8823-6ee01b2da90e,Luna,Estrada,captain,28668809-c653-4339-a60e-49757680dbb6,72,40084.73,2010-07-01,hu,13355817-fdde-41b3-9826-a3b9703ac933,Luna.Estrada@aldiiisey.com,2023-10-01T23:00:00.000Z,createdBy.imyvm@example.net,2005-07-04T23:00:00.000Z,modifiedBy.imyvm@example.org
31304723-2049-4d0d-aebb-c128239a3fbb,Journey,Scott,captain,28668810-18c0-4f3b-a3ab-ae635717e3b1,28,54768.16,2020-03-13,hu,13355817-fdde-41b3-9826-a3b9703ac933,Journey.Scott@aldiiisey.com,2008-01-04T23:00:00.000Z,createdBy.imyvn@example.org,2010-04-24T23:00:00.000Z,modifiedBy.imyvn@example.org
31304724-57b7-4e8e-80bb-98c1a9f95bd3,Dawn,Knight,captain,28668811-3231-4b42-a94c-2d63ffc2244f,89,31127.77,2015-12-22,hu,13355817-fdde-41b3-9826-a3b9703ac933,Dawn.Knight@aldiiisey.com,2001-02-26T23:00:00.000Z,createdBy.imyvo@example.org,2013-06-02T23:00:00.000Z,modifiedBy.imyvo@aldiiisey.com
31304725-b679-4df8-ac7c-63ba21a0a67d,Delta,Vargas,captain,28668812-d1d2-4d3a-9e4a-ee7ed1c830d1,8,18127.41,2005-05-18,hu,13355817-fdde-41b3-9826-a3b9703ac933,Delta.Vargas@aldiiisey.com,2000-10-30T23:00:00.000Z,createdBy.imyvp@aldiiisey.com,2002-10-11T23:00:00.000Z,modifiedBy.imyvp@aldiiisey.com
31304726-5bda-40ff-9e30-525aa0676abe,Lyra,Murphy,captain,28668813-b7c7-4b36-9666-ab30cbd9cd16,53,2326.47,2009-10-30,hu,13355817-fdde-41b3-9826-a3b9703ac933,Lyra.Murphy@aldiiisey.com,2000-09-10T23:00:00.000Z,createdBy.imyvq@example.net,2002-02-13T23:00:00.000Z,modifiedBy.imyvq@example.net
31304727-0572-4747-9753-be77e4d18590,Matthew,Higgins,captain,28668814-c044-4b3e-a943-75ba8f9c3aa0,42,72161.23,2023-09-08,hu,13355817-fdde-41b3-9826-a3b9703ac933,Matthew.Higgins@aldiiisey.com,2011-06-30T23:00:00.000Z,createdBy.imyvr@example.net,2023-08-29T23:00:00.000Z,modifiedBy.imyvr@example.org
31304728-4fd1-4f0e-9ccf-086a800b5899,Zenith,Edwards,captain,28668815-0eb1-45b9-ad58-65ff8690be4b,47,78976.92,2018-04-18,hu,13355817-fdde-41b3-9826-a3b9703ac933,Zenith.Edwards@aldiiisey.com,2021-11-12T23:00:00.000Z,createdBy.imyvs@example.net,2015-01-29T23:00:00.000Z,modifiedBy.imyvs@aldiiisey.com
31304729-fd9a-4a50-960f-a6759d3c3ef2,Yonder,Zimmerman,captain,28668816-32c6-44b4-a47d-10c2128185de,47,52531.76,2012-03-27,hu,13355817-fdde-41b3-9826-a3b9703ac933,Yonder.Zimmerman@aldiiisey.com,2004-04-28T23:00:00.000Z,createdBy.imyvt@example.net,2004-07-20T23:00:00.000Z,modifiedBy.imyvt@example.org
